STATE,COUNTY,YEAR,JOB_VALUE,Classification
CA,ORANGE,2017,6000,NON_ADU
CA,ORANGE,2017,9000,NON_ADU
FL,ORANGE,2017,604296,NON_ADU
CA,ORANGE,2017,11000,NON_ADU
FL,PINELLAS,2017,8950,NON_ADU
CA,ORANGE,2017,80000,NON_ADU
CA,ORANGE,2017,7500,NON_ADU
FL,MIAMI-DADE,2017,3357826,NON_ADU
CA,ORANGE,2017,9000,NON_ADU
FL,PINELLAS,2017,1900,NON_ADU
CA,ORANGE,2017,38000,NON_ADU
FL,PINELLAS,2017,2435,NON_ADU
CA,ORANGE,2017,41550,NON_ADU
CA,ORANGE,2017,25000,NON_ADU
FL,PINELLAS,2017,2200,NON_ADU
CA,ORANGE,2017,14000,NON_ADU
CA,ORANGE,2017,8000,NON_ADU
CA,ORANGE,2017,7500,NON_ADU
CA,ORANGE,2017,13500,NON_ADU
FL,PINELLAS,2017,2600,NON_ADU
CA,ORANGE,2017,12927,NON_ADU
FL,PINELLAS,2017,3285,NON_ADU
CA,ORANGE,2017,32700,NON_ADU
CA,ORANGE,2017,7000,NON_ADU
CA,ORANGE,2017,43000,NON_ADU
CA,ORANGE,2017,9500,NON_ADU
FL,MIAMI-DADE,2017,100000,NON_ADU
CA,ORANGE,2017,30000,NON_ADU
CA,ORANGE,2017,70000,NON_ADU
FL,PINELLAS,2017,10000,NON_ADU
CA,ORANGE,2017,12442,NON_ADU
CA,ORANGE,2017,70000,POTENTIAL_ADU_CONVERSION
FL,PINELLAS,2017,500,NON_ADU
FL,PINELLAS,2017,8000,NON_ADU
CA,ORANGE,2017,8000,NON_ADU
CA,ORANGE,2017,6500,NON_ADU
CA,ORANGE,2017,6500,NON_ADU
FL,ORANGE,2017,2467,NON_ADU
CA,ORANGE,2017,25000,NON_ADU
FL,PINELLAS,2017,11300,NON_ADU
CA,ORANGE,2017,4500,NON_ADU
CA,ORANGE,2017,5700,NON_ADU
CA,ORANGE,2017,9200,NON_ADU
CA,ORANGE,2017,25000,NON_ADU
CA,ORANGE,2017,142000,NON_ADU
FL,PINELLAS,2017,2100,NON_ADU
CA,ORANGE,2017,4500,NON_ADU
CA,ORANGE,2017,6600,NON_ADU
FL,ORANGE,2017,7762,NON_ADU
FL,ORANGE,2017,15900,NON_ADU
FL,ORANGE,2017,2744,NON_ADU
CA,ORANGE,2017,5000,NON_ADU
FL,ORANGE,2017,24400,NON_ADU
CA,ORANGE,2017,8000,NON_ADU
CA,ORANGE,2017,10000,NON_ADU
CA,ORANGE,2017,28000,NON_ADU
CA,ORANGE,2017,100000,NON_ADU
CA,ORANGE,2017,60000,POTENTIAL_ADU_CONVERSION
CA,ORANGE,2017,5807,NON_ADU
CA,ORANGE,2017,60000,NON_ADU
FL,PINELLAS,2017,2701,NON_ADU
CA,ORANGE,2017,20000,NON_ADU
FL,PINELLAS,2017,3100,NON_ADU
CA,ORANGE,2017,13500,NON_ADU
CA,ORANGE,2017,5760,NON_ADU
CA,ORANGE,2017,15000,NON_ADU
FL,ORANGE,2017,32300,NON_ADU
FL,PINELLAS,2017,5794,NON_ADU
CA,ORANGE,2017,10000,NON_ADU
CA,ORANGE,2017,19000,NON_ADU
CA,ORANGE,2017,50000,NON_ADU
CA,ORANGE,2017,10000,NON_ADU
CA,ORANGE,2017,3159,NON_ADU
CA,ORANGE,2017,30000,NON_ADU
FL,PINELLAS,2017,12000,NON_ADU
CA,ORANGE,2017,4000,NON_ADU
CA,ORANGE,2017,4500,NON_ADU
CA,ORANGE,2017,2400,NON_ADU
FL,PINELLAS,2017,13500,NON_ADU
CA,ORANGE,2017,120000,NON_ADU
CA,ORANGE,2017,3651,NON_ADU
CA,ORANGE,2017,6500,NON_ADU
CA,ORANGE,2017,17000,NON_ADU
CA,ORANGE,2017,140000,NON_ADU
FL,MIAMI-DADE,2017,50000,NON_ADU
CA,ORANGE,2017,15000,NON_ADU
FL,PINELLAS,2017,5900,NON_ADU
CA,ORANGE,2017,1600,NON_ADU
CA,ORANGE,2017,4500,NON_ADU
FL,PINELLAS,2017,5792,NON_ADU
CA,ORANGE,2017,7500,NON_ADU
FL,PINELLAS,2017,15625,NON_ADU
CA,ORANGE,2017,5000,NON_ADU
CA,ORANGE,2017,10000,NON_ADU
FL,PINELLAS,2017,6460,NON_ADU
FL,PINELLAS,2017,5000,NON_ADU
CA,ORANGE,2017,750000,NON_ADU
FL,PINELLAS,2017,2500,NON_ADU
CA,ORANGE,2017,35771,NON_ADU
FL,MIAMI-DADE,2017,75000,NON_ADU
CA,ORANGE,2017,3800,NON_ADU
CA,ORANGE,2017,65000,NON_ADU
FL,ORANGE,2017,53312,NON_ADU
CA,ORANGE,2017,2500,NON_ADU
CA,ORANGE,2017,4600,NON_ADU
CA,ORANGE,2017,3200,NON_ADU
CA,ORANGE,2017,130000,NON_ADU
CA,ORANGE,2017,1200,NON_ADU
CA,ORANGE,2017,5000,NON_ADU
CA,ORANGE,2017,5000,NON_ADU
CA,ORANGE,2017,5800,NON_ADU
CA,ORANGE,2017,15000,NON_ADU
CA,ORANGE,2017,233167,NON_ADU
